team	players	description	reversed	nullified	week	scorer	timestamp	off-turnover	manual-adjustment	comments
OAK	M.McGloin+M.Reece	(8:00) (No Huddle, Shotgun) M.McGloin pass short middle to M.Reece for 11 yards, TOUCHDOWN.	FALSE	FALSE	1					
OAK	M.McGloin+M.Reece	(2:19) (Shotgun) M.McGloin pass short right to M.Reece for 9 yards, TOUCHDOWN.	FALSE	FALSE	1					
TEN	M.Mariota+K.Wright	(13:22) (Shotgun) M.Mariota pass short right to K.Wright for 52 yards, TOUCHDOWN.	FALSE	FALSE	1					
TB	J.Winston+C.Sensabaugh+A.Humphries	(11:58) (Shotgun) J.Winston pass short left intended for A.Humphries INTERCEPTED by C.Sensabaugh at TB 26. C.Sensabaugh for 26 yards, TOUCHDOWN.	FALSE	FALSE	1					
TEN	M.Mariota+B.Sankey	(6:56) M.Mariota pass short right to B.Sankey for 12 yards, TOUCHDOWN.	FALSE	FALSE	1					
TB	A.Seferian-Jenkins+J.Winston	(15:00) (Shotgun) J.Winston pass short left to A.Seferian-Jenkins for 5 yards, TOUCHDOWN.	FALSE	FALSE	1					
TEN	M.Mariota+H.Douglas	(3:53) (Shotgun) M.Mariota pass short right to H.Douglas for 4 yards, TOUCHDOWN.	FALSE	FALSE	1					
TEN	M.Mariota+D.Walker	(:52) M.Mariota pass short right to D.Walker for 1 yard, TOUCHDOWN.	FALSE	FALSE	1					
TEN	B.Sankey	(8:06) B.Sankey up the middle for 1 yard, TOUCHDOWN.	FALSE	FALSE	1					
TB	A.Seferian-Jenkins+J.Winston	(9:30) (Shotgun) J.Winston pass short middle to A.Seferian-Jenkins for 41 yards, TOUCHDOWN.	FALSE	FALSE	1					
TB	V.Jackson	(4:31) (Shotgun) J.Winston pass short right to V.Jackson for 7 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on TB-V.Jackson, Offensive Pass Interference, 10 yards, enforced at TEN 7 - No Play.	FALSE	TRUE	1					
