week	home	away	start-time
17	HOU	JAC	2016-01-03T18:00:00Z
17	IND	TEN	2016-01-03T18:00:00Z
17	KC	OAK	2016-01-03T18:00:00Z
17	DAL	WAS	2016-01-03T18:00:00Z
17	NYG	PHI	2016-01-03T18:00:00Z
17	CHI	DET	2016-01-03T18:00:00Z
17	GB	MIN	2016-01-03T18:00:00Z
17	DEN	SD	2016-01-03T21:25:00Z
17	ARI	SEA	2016-01-03T21:25:00Z
17	SF	STL	2016-01-03T21:25:00Z
