t,value
1440883215,0
1440883216,1/52
1440883217,1/52
1440883218,1/52
1440883219,1/52
1440883220,1/52
1440883221,1/114
1440883222,1/114
1440883223,1/114
1440883224,1/114
1440883225,1/114
1440883226,38/2383
1440883227,38/2383
1440883228,38/2383
1440883229,38/2383
1440883230,38/2383
1440883231,5/479
1440883232,5/479
1440883233,5/479
1440883234,5/479
1440883235,5/479
1440883236,17/1999
1440883237,17/1999
1440883238,17/1999
1440883239,17/1999
1440883240,17/1999
1440883241,0
1440883242,0
1440883243,0
1440883244,0
1440883245,0
1440883246,18/913
1440883247,18/913
1440883248,18/913
1440883249,18/913
1440883250,18/913
1440883251,0
1440883252,0
1440883253,0
1440883254,0
1440883255,0
1440883256,78/3755
1440883257,78/3755
1440883258,78/3755
1440883259,78/3755
1440883260,78/3755
1440883261,140/2417
1440883262,140/2417
1440883263,140/2417
1440883264,140/2417
1440883265,140/2417
1440883266,203/2978
1440883267,203/2978
1440883268,203/2978
1440883269,203/2978
1440883270,203/2978
1440883271,85/1383
1440883272,85/1383
1440883273,85/1383
1440883274,85/1383
1440883275,85/1383
1440883276,77/587
1440883277,77/587
1440883278,77/587
1440883279,77/587
1440883280,77/587
1440883281,33/1033
1440883282,33/1033
1440883283,33/1033
1440883284,33/1033
1440883285,33/1033
1440883286,150/1963
1440883287,150/1963
1440883288,150/1963
1440883289,150/1963
1440883290,150/1963
1440883291,2/31
1440883292,2/31
1440883293,2/31
1440883294,2/31
1440883295,2/31
1440883296,132/3361
1440883297,132/3361
1440883298,132/3361
1440883299,132/3361
1440883300,132/3361
1440883301,0
1440883302,0
1440883303,0
1440883304,0
1440883305,0
1440883306,1/22
1440883307,1/22
1440883308,1/22
1440883309,1/22
1440883310,1/22
1440883311,75/1286
1440883312,75/1286
1440883313,75/1286
1440883314,75/1286
1440883315,75/1286
1440883316,124/3287
1440883317,124/3287
1440883318,124/3287
1440883319,124/3287
1440883320,124/3287
1440883321,56/2397
1440883322,56/2397
1440883323,56/2397
1440883324,56/2397
