t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1440882535,1,0.004325,0.004704,0.094473,0.155760,events/second
1440882536,1,0.004306,0.004704,0.094473,0.155760,events/second
1440882537,1,0.004288,0.004704,0.094473,0.155760,events/second
1440882538,1,0.004269,0.004704,0.094473,0.155760,events/second
1440882539,1,0.004251,0.004327,0.092912,0.154897,events/second
1440882540,1,0.004233,0.004327,0.092912,0.154897,events/second
1440882541,1,0.004215,0.004327,0.092912,0.154897,events/second
1440882542,1,0.004198,0.004327,0.092912,0.154897,events/second
1440882543,1,0.004180,0.004327,0.092912,0.154897,events/second
1440882544,1,0.004163,0.003981,0.091376,0.154039,events/second
1440882545,1,0.004146,0.003981,0.091376,0.154039,events/second
1440882546,1,0.004129,0.003981,0.091376,0.154039,events/second
1440882547,1,0.004112,0.003981,0.091376,0.154039,events/second
1440882548,1,0.004095,0.003981,0.091376,0.154039,events/second
1440882549,1,0.004078,0.003663,0.089866,0.153186,events/second
1440882550,1,0.004061,0.003663,0.089866,0.153186,events/second
1440882551,1,0.004045,0.003663,0.089866,0.153186,events/second
1440882552,1,0.004029,0.003663,0.089866,0.153186,events/second
1440882553,1,0.004013,0.003663,0.089866,0.153186,events/second
1440882554,1,0.003997,0.003370,0.088380,0.152337,events/second
1440882555,1,0.003981,0.003370,0.088380,0.152337,events/second
1440882556,1,0.003965,0.003370,0.088380,0.152337,events/second
1440882557,1,0.003949,0.003370,0.088380,0.152337,events/second
1440882558,1,0.003934,0.003370,0.088380,0.152337,events/second
1440882559,1,0.003918,0.003101,0.086920,0.151493,events/second
1440882560,1,0.003903,0.003101,0.086920,0.151493,events/second
1440882561,1,0.003888,0.003101,0.086920,0.151493,events/second
1440882562,1,0.003873,0.003101,0.086920,0.151493,events/second
1440882563,1,0.003858,0.003101,0.086920,0.151493,events/second
1440882564,1,0.003843,0.002853,0.085483,0.150654,events/second
1440882565,1,0.003828,0.002853,0.085483,0.150654,events/second
1440882566,1,0.003814,0.002853,0.085483,0.150654,events/second
1440882567,1,0.003799,0.002853,0.085483,0.150654,events/second
1440882568,1,0.003785,0.002853,0.085483,0.150654,events/second
1440882569,1,0.003770,0.002625,0.084070,0.149819,events/second
1440882570,1,0.003756,0.002625,0.084070,0.149819,events/second
1440882571,1,0.003742,0.002625,0.084070,0.149819,events/second
1440882572,1,0.003728,0.002625,0.084070,0.149819,events/second
1440882573,1,0.003714,0.002625,0.084070,0.149819,events/second
1440882574,1,0.003701,0.002415,0.082681,0.148989,events/second
1440882575,1,0.003687,0.002415,0.082681,0.148989,events/second
1440882576,1,0.003674,0.002415,0.082681,0.148989,events/second
1440882577,1,0.003660,0.002415,0.082681,0.148989,events/second
1440882578,1,0.003647,0.002415,0.082681,0.148989,events/second
1440882579,1,0.003634,0.002222,0.081314,0.148164,events/second
1440882580,1,0.003620,0.002222,0.081314,0.148164,events/second
1440882581,1,0.003607,0.002222,0.081314,0.148164,events/second
1440882582,1,0.003594,0.002222,0.081314,0.148164,events/second
1440882583,1,0.003581,0.002222,0.081314,0.148164,events/second
1440882584,1,0.003569,0.002044,0.079970,0.147343,events/second
1440882585,1,0.003556,0.002044,0.079970,0.147343,events/second
1440882586,1,0.003543,0.002044,0.079970,0.147343,events/second
1440882587,1,0.003531,0.002044,0.079970,0.147343,events/second
1440882588,1,0.003518,0.002044,0.079970,0.147343,events/second
1440882589,1,0.003506,0.001881,0.078648,0.146526,events/second
1440882590,1,0.003494,0.001881,0.078648,0.146526,events/second
1440882591,1,0.003482,0.001881,0.078648,0.146526,events/second
1440882592,1,0.003470,0.001881,0.078648,0.146526,events/second
1440882593,1,0.003458,0.001881,0.078648,0.146526,events/second
1440882594,1,0.003446,0.001730,0.077348,0.145715,events/second
1440882595,1,0.003434,0.001730,0.077348,0.145715,events/second
1440882596,1,0.003422,0.001730,0.077348,0.145715,events/second
1440882597,1,0.003410,0.001730,0.077348,0.145715,events/second
1440882598,1,0.003399,0.001730,0.077348,0.145715,events/second
1440882599,1,0.003387,0.001592,0.076070,0.144907,events/second
1440882600,1,0.003376,0.001592,0.076070,0.144907,events/second
1440882601,1,0.003365,0.001592,0.076070,0.144907,events/second
1440882602,1,0.003353,0.001592,0.076070,0.144907,events/second
1440882603,1,0.003342,0.001592,0.076070,0.144907,events/second
1440882604,1,0.003331,0.001465,0.074812,0.144105,events/second
1440882605,1,0.003320,0.001465,0.074812,0.144105,events/second
1440882606,1,0.003309,0.001465,0.074812,0.144105,events/second
1440882607,1,0.003298,0.001465,0.074812,0.144105,events/second
1440882608,1,0.003287,0.001465,0.074812,0.144105,events/second
1440882609,1,0.003276,0.001348,0.073576,0.143306,events/second
1440882610,1,0.003266,0.001348,0.073576,0.143306,events/second
1440882611,1,0.003255,0.001348,0.073576,0.143306,events/second
1440882612,1,0.003244,0.001348,0.073576,0.143306,events/second
1440882613,1,0.003234,0.001348,0.073576,0.143306,events/second
1440882614,1,0.003224,0.001240,0.072360,0.142512,events/second
1440882615,1,0.003213,0.001240,0.072360,0.142512,events/second
1440882616,1,0.003203,0.001240,0.072360,0.142512,events/second
1440882617,1,0.003193,0.001240,0.072360,0.142512,events/second
1440882618,1,0.003182,0.001240,0.072360,0.142512,events/second
1440882619,1,0.003172,0.001141,0.071164,0.141723,events/second
1440882620,1,0.003162,0.001141,0.071164,0.141723,events/second
1440882621,1,0.003152,0.001141,0.071164,0.141723,events/second
1440882622,1,0.003143,0.001141,0.071164,0.141723,events/second
1440882623,1,0.003133,0.001141,0.071164,0.141723,events/second
1440882624,1,0.003123,0.001050,0.069988,0.140938,events/second
1440882625,1,0.003113,0.001050,0.069988,0.140938,events/second
1440882626,1,0.003103,0.001050,0.069988,0.140938,events/second
1440882627,1,0.003094,0.001050,0.069988,0.140938,events/second
1440882628,1,0.003084,0.001050,0.069988,0.140938,events/second
1440882629,1,0.003075,0.000966,0.068831,0.140157,events/second
1440882630,1,0.003065,0.000966,0.068831,0.140157,events/second
1440882631,1,0.003056,0.000966,0.068831,0.140157,events/second
1440882632,1,0.003047,0.000966,0.068831,0.140157,events/second
1440882633,1,0.003037,0.000966,0.068831,0.140157,events/second
1440882634,1,0.003028,0.000888,0.067693,0.139380,events/second
1440882635,1,0.003019,0.000888,0.067693,0.139380,events/second
1440882636,1,0.003010,0.000888,0.067693,0.139380,events/second
1440882637,1,0.003001,0.000888,0.067693,0.139380,events/second
1440882638,1,0.002992,0.000888,0.067693,0.139380,events/second
1440882639,1,0.002983,0.000817,0.066574,0.138608,events/second
1440882640,1,0.002974,0.000817,0.066574,0.138608,events/second
1440882641,1,0.002965,0.000817,0.066574,0.138608,events/second
1440882642,1,0.002957,0.000817,0.066574,0.138608,events/second
1440882643,1,0.002948,0.000817,0.066574,0.138608,events/second
1440882644,1,0.002939,0.000752,0.065474,0.137840,events/second
1440882645,1,0.002931,0.000752,0.065474,0.137840,events/second
1440882646,1,0.002922,0.000752,0.065474,0.137840,events/second
1440882647,1,0.002914,0.000752,0.065474,0.137840,events/second
1440882648,1,0.002905,0.000752,0.065474,0.137840,events/second
1440882649,1,0.002897,0.000692,0.064392,0.137077,events/second
1440882650,1,0.002888,0.000692,0.064392,0.137077,events/second
1440882651,1,0.002880,0.000692,0.064392,0.137077,events/second
1440882652,1,0.002872,0.000692,0.064392,0.137077,events/second
1440882653,1,0.002864,0.000692,0.064392,0.137077,events/second
