"t.bucket","td.sum","rt.sum"
1418608595000,0,4
1418608600000,2,7
1418608605000,4,2
1418608610000,4,10
1418608615000,3,6
1418608620000,16,5
1418608625000,42,5
1418608630000,84,8
1418608635000,97,10
1418608640000,146,22
1418608645000,182,29
1418608650000,217,51
1418608655000,224,73
1418608660000,273,102
1418608665000,462,326
1418608670000,589,468
1418608675000,582,475
1418608680000,511,449
1418608685000,452,394
1418608690000,410,350
1418608695000,359,344
1418608700000,274,247
1418608705000,276,255
1418608710000,241,216
1418608715000,196,176
1418608720000,191,193
1418608725000,172,168
1418608730000,175,171
1418608735000,144,149
1418608740000,153,171
1418608745000,105,136
1418608750000,117,141
1418608755000,124,145
1418608760000,109,126
1418608765000,118,166
1418608770000,91,184
1418608775000,79,177
1418608780000,96,182
1418608785000,70,125
1418608790000,76,123
1418608795000,67,129
1418608800000,70,143
1418608805000,55,106
1418608810000,42,102
1418608815000,52,98
1418608820000,44,80
1418608825000,46,83
1418608830000,50,82
1418608835000,40,76
1418608840000,33,76
1418608845000,36,71
1418608850000,37,71
1418608855000,40,70
1418608860000,26,63
1418608865000,23,45
1418608870000,23,55
1418608875000,29,57
1418608880000,20,55
1418608885000,37,48
1418608890000,28,53
1418608895000,33,54
1418608900000,24,55
1418608905000,34,60
1418608910000,20,42
1418608915000,19,40
1418608920000,24,51
1418608925000,26,47
1418608930000,19,38
1418608935000,25,33
1418608940000,19,40
1418608945000,26,55
1418608950000,18,36
1418608955000,15,30
1418608960000,16,32
1418608965000,14,27
1418608970000,8,22
1418608975000,11,28
1418608980000,11,29
1418608985000,13,26
1418608990000,17,25
1418608995000,13,25
1.418609e+12,14,34
1418609005000,14,27
1418609010000,8,25
1418609015000,11,21
1418609020000,10,21
1418609025000,7,14
1418609030000,7,18
1418609035000,6,18
1418609040000,7,17
1418609045000,4,10
1418609050000,10,15
1418609055000,8,22
1418609060000,8,20
1418609065000,8,35
1418609070000,12,36
1418609075000,9,31
1418609080000,4,27
1418609085000,10,33
1418609090000,9,43
1418609095000,9,29
1418609100000,7,30
1418609105000,15,39
1418609110000,6,37
1418609115000,8,45
1418609120000,6,34
1418609125000,9,41
1418609130000,13,40
1418609135000,7,45
1418609140000,10,42
1418609145000,7,38
1418609150000,7,47
1418609155000,2,29
1418609160000,9,41
1418609165000,6,36
1418609170000,8,34
1418609175000,8,37
1418609180000,9,36
1418609185000,3,29
1418609190000,8,11
1418609195000,7,17
1418609200000,6,15
1418609205000,6,22
1418609210000,12,22
1418609215000,3,11
1418609220000,3,16
1418609225000,2,11
1418609230000,6,11
1418609235000,1,9
1418609240000,0,6
1418609245000,6,6
1418609250000,0,9
1418609255000,6,11
1418609260000,5,15
1418609265000,2,7
1418609270000,6,12
1418609275000,5,12
1418609280000,5,10
1418609285000,3,9
1418609290000,5,11
1418609295000,2,6
1418609300000,3,7
1418609305000,1,5
1418609310000,0,6
1418609315000,5,6
1418609320000,4,7
1418609325000,0,5
1418609330000,3,9
1418609335000,1,4
1418609340000,2,13
1418609345000,3,6
1418609350000,3,6
1418609355000,4,6
1418609360000,6,15
1418609365000,3,8
1418609370000,2,10
1418609375000,3,7
1418609380000,2,2
1418609385000,5,13
1418609390000,3,12
1418609395000,7,10
1418609400000,5,11
1418609405000,6,13
1418609410000,5,12
1418609415000,6,9
1418609420000,3,12
1418609425000,3,9
1418609430000,4,19
1418609435000,5,14
1418609440000,3,10
1418609445000,6,15
1418609450000,6,11
1418609455000,4,7
1418609460000,7,16
1418609465000,4,13
1418609470000,5,11
1418609475000,4,12
1418609480000,3,7
1418609485000,3,14
1418609490000,8,11
1418609495000,6,17
1418609500000,1,12
1418609505000,5,12
1418609510000,8,18
1418609515000,6,14
1418609520000,3,14
1418609525000,2,13
1418609530000,6,23
1418609535000,4,11
1418609540000,4,17
1418609545000,4,8
1418609550000,4,14
1418609555000,1,11
1418609560000,3,15
1418609565000,1,6
1418609570000,3,10
1418609575000,3,7
1418609580000,0,8
1418609585000,1,5
1418609590000,4,13
1418609595000,1,3
1418609600000,2,5
1418609605000,1,7
1418609610000,2,13
1418609615000,2,8
1418609620000,2,12
1418609625000,1,14
1418609630000,1,5
1418609635000,1,3
1418609640000,1,6
1418609645000,1,8
1418609650000,3,11
1418609655000,1,5
1418609660000,3,12
1418609665000,1,2
1418609670000,1,2
1418609675000,4,9
1418609680000,3,6
1418609685000,4,4
1418609690000,2,8
1418609695000,2,7
1418609700000,1,7
1418609705000,1,5
1418609710000,2,6
1418609715000,1,4
1418609720000,1,5
1418609725000,1,6
1418609730000,2,12
1418609735000,1,7
1418609740000,2,2
1418609745000,5,9
1418609750000,0,5
1418609755000,0,6
1418609760000,2,3
1418609765000,1,1
1418609770000,2,7
1418609775000,1,7
1418609780000,2,9
1418609785000,1,2
1418609790000,6,12
1418609795000,1,7
1418609800000,2,2
1418609805000,0,5
1418609810000,0,7
1418609815000,3,8
1418609820000,2,8
1418609825000,1,7
1418609830000,2,5
1418609835000,1,8
1418609840000,0,5
1418609845000,1,5
1418609850000,2,9
1418609855000,5,3
1418609860000,1,3
1418609865000,3,9
1418609870000,4,8
1418609875000,1,11
1418609880000,2,6
1418609885000,2,10
1418609890000,2,5
1418609895000,2,5
1418609900000,1,7
1418609905000,1,4
1418609910000,3,3
1418609915000,26,13
1418609920000,75,4
1418609925000,156,9
1418609930000,225,24
1418609935000,231,33
1418609940000,245,57
1418609945000,229,91
1418609950000,560,383
1418609955000,571,448
1418609960000,529,422
1418609965000,454,360
1418609970000,391,319
1418609975000,351,301
1418609980000,307,276
1418609985000,262,229
1418609990000,216,182
1418609995000,207,191
1.41861e+12,190,211
1418610005000,180,231
1418610010000,163,236
1418610015000,137,210
1418610020000,131,233
1418610025000,117,222
1418610030000,117,222
1418610035000,122,196
1418610040000,87,156
1418610045000,106,155
1418610050000,85,143
1418610055000,86,143
1418610060000,90,158
1418610065000,81,129
1418610070000,74,141
1418610075000,75,123
1418610080000,49,112
1418610085000,60,95
1418610090000,71,100
1418610095000,55,99
1418610100000,53,102
1418610105000,49,87
1418610110000,48,72
1418610115000,45,67
1418610120000,34,67
1418610125000,47,80
1418610130000,30,63
1418610135000,40,55
1418610140000,44,57
1418610145000,32,61
1418610150000,31,54
1418610155000,34,54
1418610160000,22,44
1418610165000,15,39
1418610170000,31,43
1418610175000,19,37
1418610180000,21,45
1418610185000,17,25
1418610190000,14,22
1418610195000,15,25
1418610200000,21,47
1418610205000,12,46
1418610210000,18,50
1418610215000,22,45
1418610220000,18,33
1418610225000,19,27
1418610230000,18,27
1418610235000,21,34
1418610240000,12,34
1418610245000,19,37
1418610250000,12,25
1418610255000,12,19
1418610260000,18,34
1418610265000,11,21
1418610270000,13,26
1418610275000,8,23
1418610280000,12,26
1418610285000,10,19
1418610290000,11,21
1418610295000,13,28
1418610300000,11,23
1418610305000,9,20
1418610310000,7,15
1418610315000,6,14
1418610320000,6,14
1418610325000,6,13
1418610330000,3,7
1418610335000,5,9
1418610340000,9,16
1418610345000,5,12
1418610350000,5,13
1418610355000,4,7
1418610360000,8,9
1418610365000,5,11
1418610370000,7,12
1418610375000,5,9
1418610380000,5,8
1418610385000,8,17
1418610390000,8,9
1418610395000,2,9
1418610400000,8,19
1418610405000,7,10
1418610410000,7,8
1418610415000,6,15
1418610420000,5,11
1418610425000,6,9
1418610430000,8,16
1418610435000,7,15
1418610440000,6,7
1418610445000,4,7
1418610450000,1,4
1418610455000,5,9
1418610460000,2,11
1418610465000,2,5
1418610470000,6,18
1418610475000,4,6
1418610480000,3,10
1418610485000,8,12
1418610490000,7,12
1418610495000,9,9
1418610500000,9,16
1418610505000,7,13
1418610510000,7,12
1418610515000,6,13
1418610520000,5,9
1418610525000,13,11
1418610530000,17,14
1418610535000,43,19
1418610540000,119,14
1418610545000,169,19
1418610550000,189,26
1418610555000,124,23
1418610560000,165,40
1418610565000,142,49
1418610570000,123,49
1418610575000,105,58
1418610580000,127,66
1418610585000,88,49
1418610590000,93,67
1418610595000,75,59
1418610600000,82,65
1418610605000,61,59
1418610610000,73,59
1418610615000,63,49
1418610620000,50,56
1418610625000,42,50
1418610630000,41,49
1418610635000,35,31
1418610640000,36,44
1418610645000,38,41
1418610650000,39,43
1418610655000,27,39
1418610660000,40,52
1418610665000,33,52
1418610670000,25,32
1418610675000,25,28
1418610680000,29,36
1418610685000,22,33
1418610690000,21,27
1418610695000,18,27
1418610700000,23,31
1418610705000,16,23
1418610710000,19,29
1418610715000,14,24
1418610720000,7,18
1418610725000,5,11
1418610730000,6,10
1418610735000,15,22
1418610740000,9,14
1418610745000,11,17
1418610750000,8,18
1418610755000,6,13
1418610760000,12,19
1418610765000,9,13
1418610770000,6,12
1418610775000,11,14
1418610780000,3,8
1418610785000,4,13
1418610790000,9,15
1418610795000,6,14
1418610800000,5,10
1418610805000,11,12
1418610810000,8,16
1418610815000,4,4
1418610820000,1,7
1418610825000,2,6
1418610830000,4,6
1418610835000,5,7
1418610840000,5,11
1418610845000,6,12
1418610850000,8,16
1418610855000,10,16
1418610860000,5,9
1418610865000,7,8
1418610870000,5,7
1418610875000,2,6
1418610880000,6,9
1418610885000,4,17
1418610890000,1,14
1418610895000,2,11
1418610900000,5,12
1418610905000,3,13
1418610910000,6,9
1418610915000,6,12
1418610920000,2,5
1418610925000,4,12
1418610930000,4,16
1418610935000,6,17
1418610940000,4,11
1418610945000,3,11
1418610950000,6,12
1418610955000,7,13
1418610960000,0,6
1418610965000,0,4
1418610970000,3,9
1418610975000,5,10
1418610980000,3,10
1418610985000,3,13
1418610990000,6,19
1418610995000,4,18
1.418611e+12,4,12
1418611005000,0,12
1418611010000,5,19
1418611015000,5,11
1418611020000,3,10
1418611025000,2,10
1418611030000,3,15
1418611035000,7,15
1418611040000,4,7
1418611045000,7,12
1418611050000,0,11
1418611055000,6,13
1418611060000,1,16
1418611065000,5,13
1418611070000,4,9
1418611075000,2,3
1418611080000,2,10
1418611085000,1,2
1418611090000,1,6
1418611095000,2,12
1418611100000,3,12
1418611105000,1,15
1418611110000,2,13
1418611115000,2,8
1418611120000,5,9
1418611125000,3,11
1418611130000,1,11
1418611135000,1,11
1418611140000,1,8
1418611145000,1,13
1418611150000,0,4
1418611155000,3,9
1418611160000,2,6
1418611165000,1,6
1418611170000,2,9
1418611175000,1,16
1418611180000,5,5
1418611185000,2,10
1418611190000,4,15
1418611195000,1,5
1418611200000,4,16
1418611205000,3,10
1418611210000,3,10
1418611215000,6,10
1418611220000,5,16
1418611225000,5,16
1418611230000,1,12
1418611235000,0,8
1418611240000,6,15
1418611245000,4,9
1418611250000,3,14
1418611255000,6,11
1418611260000,5,18
1418611265000,2,8
1418611270000,3,12
1418611275000,1,5
1418611280000,1,6
1418611285000,1,1
1418611290000,3,8
1418611295000,2,11
1418611300000,1,6
1418611305000,3,6
1418611310000,5,10
1418611315000,0,6
1418611320000,0,9
1418611325000,4,9
1418611330000,3,8
1418611335000,2,6
1418611340000,0,7
1418611345000,1,8
1418611350000,2,11
1418611355000,0,2
1418611360000,2,2
1418611365000,1,5
1418611370000,0,6
1418611375000,3,7
1418611380000,2,3
1418611385000,1,5
1418611390000,1,11
1418611395000,3,8
1418611400000,0,8
1418611405000,3,14
1418611410000,1,16
1418611415000,1,13
1418611420000,2,18
1418611425000,3,18
1418611430000,1,18
1418611435000,2,10
1418611440000,5,16
1418611445000,1,10
1418611450000,0,10
1418611455000,0,16
1418611460000,1,14
1418611465000,4,13
1418611470000,4,15
1418611475000,1,15
1418611480000,3,18
1418611485000,3,8
1418611490000,2,11
1418611495000,1,6
1418611500000,1,4
1418611505000,1,7
1418611510000,1,6
1418611515000,4,9
1418611520000,1,4
1418611525000,1,10
1418611530000,1,6
1418611535000,0,11
1418611540000,1,4
1418611545000,3,8
1418611550000,4,5
1418611555000,0,10
1418611560000,0,4
1418611565000,2,6
1418611570000,3,4
1418611575000,1,4
1418611580000,2,5
1418611585000,3,6
1418611590000,0,5
1418611595000,1,7
1418611600000,3,5
1418611605000,0,4
1418611610000,1,8
1418611615000,1,5
1418611620000,7,6
1418611625000,3,10
1418611630000,6,9
1418611635000,2,7
1418611640000,4,11
1418611645000,1,4
1418611650000,1,9
1418611655000,2,7
1418611660000,2,5
1418611665000,1,8
1418611670000,3,10
1418611675000,2,5
1418611680000,50,52
1418611685000,0,1
1418611690000,1,6
1418611695000,0,8
1418611700000,3,7
1418611705000,0,3
1418611710000,4,7
1418611715000,2,8
1418611720000,1,8
1418611725000,6,7
1418611730000,4,3
1418611735000,3,6
1418611740000,49,55
1418611745000,5,9
1418611750000,5,19
1418611755000,7,8
1418611760000,5,13
1418611765000,5,12
1418611770000,10,20
1418611775000,3,12
1418611780000,7,31
1418611785000,6,29
1418611790000,6,25
1418611795000,4,20
1418611800000,6,18
1418611805000,3,16
1418611810000,7,17
1418611815000,6,17
1418611820000,8,19
1418611825000,3,13
1418611830000,3,22
1418611835000,0,13
1418611840000,5,15
1418611845000,4,12
1418611850000,3,19
1418611855000,5,13
1418611860000,1,4
1418611865000,1,14
1418611870000,2,8
1418611875000,8,13
1418611880000,2,10
1418611885000,1,7
1418611890000,5,12
1418611895000,4,10
1418611900000,2,4
1418611905000,2,8
1418611910000,3,10
1418611915000,0,7
1418611920000,0,5
1418611925000,4,8
1418611930000,2,15
1418611935000,0,8
1418611940000,1,10
1418611945000,3,14
1418611950000,2,7
1418611955000,2,12
1418611960000,4,12
1418611965000,3,10
1418611970000,3,7
1418611975000,2,9
1418611980000,2,4
1418611985000,0,3
1418611990000,4,11
1418611995000,3,6
